epoch,time_s,loglik,residual,rel_change
1,1.110457,-156520509,17.42524504,0
2,0.966961,-17908775.31,0.4442353661,0.3197139122
3,0.966280,-17342278.48,0.3090868322,0.2173463856
4,0.970182,-17045963.52,0.2178260641,0.134256294
5,0.964093,-16915987.43,0.168634368,0.08614492997
6,0.964994,-16859083.11,0.1425301433,0.06193385274
7,0.962896,-16830347.78,0.1262338223,0.0491221813
8,0.963171,-16813195.78,0.114238903,0.04110227577
9,0.966842,-16801822.91,0.104586713,0.03527912976
10,0.963698,-16793935.16,0.09650594398,0.03069760297
11,0.964997,-16788407.56,0.08960697935,0.02695844651
12,0.962570,-16784574.06,0.08364302038,0.02385159107
13,0.964782,-16781995.7,0.07843711018,0.02124181773
14,0.962653,-16780366.55,0.07385526217,0.01903141955
15,0.964314,-16779466.85,0.06979334556,0.01714591122
16,0.980475,-16779136.36,0.0661690737,0.01552706061
17,0.961054,-16779251.58,0.06291652986,0.01412873542
18,0.966421,-16779717.13,0.05998227278,0.0129140949
19,0.961266,-16780433.21,0.05732250094,0.01185340303
20,0.961562,-16781267.9,0.05490096652,0.01092251773
21,0.964289,-16782049.01,0.05268741803,0.01010171817
22,0.962664,-16782470.41,0.05065641696,0.009374772998
23,0.963815,-16781905.06,0.04878642393,0.008728222276
24,0.961578,-16780231.83,0.04705909753,0.008150874702
25,0.961784,-16778298.1,0.04545872774,0.007633412497
26,0.970585,-16776185.85,0.0439717974,0.007167923276
27,0.963223,-16773939.86,0.04258661546,0.006747710405
28,0.962494,-16771664.29,0.04129303252,0.006367105762
29,0.967169,-16769371.93,0.04008217964,0.006021308105
30,0.962261,-16767085.52,0.03894629512,0.005706233956
31,0.964201,-16764742.74,0.0378785591,0.005418320137
32,0.968135,-16762475.61,0.03687295754,0.005154495241
33,0.965469,-16760407.04,0.03592416871,0.004912188505
34,0.964280,-16758493.54,0.03502745866,0.004689067391
35,0.963235,-16756367.99,0.0341786174,0.004483150102
36,0.960550,-16753836.63,0.03337387663,0.004292671214
37,0.966449,-16751516.2,0.03260985962,0.004116075691
38,0.965372,-16749610.57,0.03188353116,0.003952001947
39,0.966137,-16747990.08,0.0311921559,0.003799267547
40,0.962330,-16746291.44,0.03053326314,0.003656821792
41,0.965375,-16744415.45,0.02990461451,0.003523735159
42,0.964873,-16742449.8,0.02930417684,0.003399161367
43,0.968080,-16740563.35,0.02873010191,0.003282360243
44,0.965728,-16739010.74,0.02818069997,0.003172674
45,0.967753,-16737619.55,0.02765442884,0.003069491234
46,0.963551,-16736404,0.02714987515,0.002972281328
47,0.967326,-16735264.31,0.02666573907,0.002880590602
48,0.965744,-16734142,0.02620083091,0.002793972613
49,0.964348,-16732972.02,0.02575405158,0.00271205658
50,0.963304,-16731789.85,0.02532438671,0.002634430315
51,0.967407,-16730558.86,0.02491089769,0.002560830292
52,0.964207,-16729398.84,0.02451271843,0.002490958826
53,0.963443,-16728365.87,0.02412904569,0.00242455411
54,0.965354,-16727417.63,0.02375913185,0.002361368091
55,0.961309,-16726572.97,0.0234022817,0.002301223845
56,0.965159,-16725813.19,0.02305784777,0.002243842365
57,0.962963,-16725116.98,0.0227252263,0.00218908716
58,0.963538,-16724448.54,0.02240385167,0.00213676578
59,0.966577,-16723838.16,0.02209319602,0.002086749493
60,0.963474,-16723307.02,0.02179276376,0.002038869881
61,0.963757,-16722813.19,0.02150209069,0.001993012713
62,0.962391,-16722339.91,0.02122074296,0.001949070538
63,0.963712,-16721867.45,0.020948312,0.001906912571
64,0.966262,-16721408.06,0.02068441081,0.001866433103
65,0.966673,-16720983.51,0.02042867672,0.001827544126
