epoch,time_s,loglik,residual,rel_change
1,17.272225,-156520509,17.42524504,0
2,17.253073,-17908775.31,0.4442353616,0.3197139105
3,17.143487,-17342278.45,0.309086824,0.2173463756
4,17.214139,-17045963.5,0.217826056,0.1342562878
5,44.318255,-16915987.41,0.1686343639,0.08614492692
6,24.149137,-16859083.07,0.142530143,0.0619338544
7,23.595246,-16830347.7,0.126233824,0.04912218801
8,17.208976,-16813195.68,0.1142389058,0.04110228397
9,27.561261,-16801822.76,0.1045867161,0.03527913762
10,18.186424,-16793934.96,0.09650594699,0.03069760974
11,17.183067,-16788407.26,0.08960698218,0.0269584527
12,18.532379,-16784573.69,0.08364302279,0.02385159712
13,17.214773,-16781995.29,0.07843711232,0.02124182371
14,50.158585,-16780366.06,0.07385526375,0.01903142549
15,18.195425,-16779466.3,0.06979334675,0.01714591719
16,17.218310,-16779135.73,0.06616907458,0.01552706723
17,73.378103,-16779250.85,0.06291653056,0.01412874246
18,17.174266,-16779716.3,0.05998227341,0.01291410175
19,27.999114,-16780432.27,0.05732250141,0.01185340987
20,17.268733,-16781266.88,0.05490096693,0.01092252484
21,51.635292,-16782047.93,0.05268741843,0.01010172452
22,49.590906,-16782469.12,0.05065641736,0.009374778988
23,28.721477,-16781903.84,0.04878642441,0.008728228797
24,39.889092,-16780230.51,0.04705909814,0.008150880526
25,88.086028,-16778296.6,0.04545872851,0.007633418757
26,20.851568,-16776184.35,0.04397179835,0.007167929337
27,28.357179,-16773938.43,0.04258661684,0.006747717461
28,17.256697,-16771663.42,0.04129303435,0.006367112411
29,59.015530,-16769371.11,0.04008218189,0.006021315038
30,17.500547,-16767084.58,0.03894629772,0.005706240205
31,31.735538,-16764741.54,0.03787856198,0.00541832409
32,73.748712,-16762474.64,0.03687296056,0.005154501586
33,17.327391,-16760406.58,0.03592417216,0.004912193754
34,78.413246,-16758492.98,0.03502746272,0.004689071127
35,65.739144,-16756367.06,0.03417862142,0.004483155866
36,22.912966,-16753837.51,0.03337388102,0.004292676358
37,36.439688,-16751516.65,0.03260986418,0.004116080954
38,28.711578,-16749611.49,0.03188353606,0.003952006077
39,17.328859,-16747990.81,0.03119216077,0.003799271926
40,19.438127,-16746291.42,0.03053326816,0.003656825267
