epoch,time_s,loglik,residual,rel_change
1,35.738643,-156520487.5,17.42524344,0
2,35.618874,-17908774.87,0.4442353112,0.3197138838
3,34.748145,-17342278.21,0.3090868012,0.2173463483
4,35.343784,-17045963.38,0.2178260479,0.134256278
5,35.244218,-16915987.32,0.1686343602,0.08614492248
6,35.312833,-16859083.01,0.142530142,0.06193385363
7,35.588344,-16830347.65,0.1262338249,0.04912219009
8,35.037616,-16813195.63,0.1142389078,0.04110228638
9,35.102388,-16801822.68,0.1045867188,0.03527913946
10,35.050914,-16793934.86,0.09650595024,0.03069761164
11,34.964277,-16788407.16,0.08960698573,0.0269584548
12,34.967590,-16784573.59,0.08364302659,0.02385159897
13,35.124439,-16781995.15,0.07843711622,0.02124182532
14,35.091734,-16780365.91,0.07385526766,0.01903142717
15,35.032747,-16779466.1,0.06979335057,0.01714591907
16,35.591173,-16779135.52,0.06616907835,0.01552706948
17,35.844765,-16779250.64,0.06291653432,0.01412874383
18,35.514871,-16779716.06,0.0599822769,0.01291410262
19,35.253387,-16780432.01,0.05732250474,0.01185341114
20,34.755795,-16781266.57,0.05490096989,0.01092252573
21,34.733585,-16782047.59,0.05268742122,0.01010172577
22,35.353536,-16782468.88,0.05065641991,0.009374781189
23,35.362126,-16781903.97,0.04878642711,0.008728231774
24,35.696108,-16780230.52,0.04705910092,0.008150883476
25,35.534592,-16778296.78,0.04545873153,0.007633420031
26,35.166469,-16776184.89,0.04397180119,0.007167931
27,35.338219,-16773938.97,0.04258661978,0.006747720348
28,34.819339,-16771664.24,0.04129303736,0.006367115327
29,35.299791,-16769372.33,0.04008218534,0.006021317515
30,35.085403,-16767085.81,0.03894630131,0.005706242194
31,34.948059,-16764742.74,0.03787856567,0.005418325712
32,34.954842,-16762475.82,0.0368729644,0.005154503159
33,34.787510,-16760407.85,0.03592417626,0.00491219516
34,35.845695,-16758494.15,0.03502746677,0.004689071294
35,34.983287,-16756368.07,0.03417862569,0.004483155829
36,35.171375,-16753837.69,0.03337388521,0.004292676367
37,35.236417,-16751517.99,0.03260986838,0.004116082824
38,35.241277,-16749611.72,0.03188354042,0.003952005438
39,35.199383,-16747991.8,0.03119216518,0.003799275639
40,35.440025,-16746292.31,0.0305332733,0.003656828918
41,34.925274,-16744415.11,0.02990462498,0.003523743824
42,35.189088,-16742450.98,0.02930418794,0.003399169971
43,35.140442,-16740562.65,0.0287301134,0.003282371733
44,35.230928,-16739011.56,0.02818071219,0.003172680347
45,35.254611,-16737619.64,0.02765444107,0.003069499142
46,35.556360,-16736405.04,0.02714988796,0.002972290575
47,35.294599,-16735264.52,0.0266657523,0.002880596559
48,35.567309,-16734142.49,0.02620084446,0.002793980749
49,35.424591,-16732972.2,0.02575406589,0.002712064494
50,35.819258,-16731789.75,0.02532440177,0.002634439206
51,35.825929,-16730559.85,0.0249109132,0.002560838202
52,34.703156,-16729398.55,0.0245127343,0.002490967801
53,35.241156,-16728367.5,0.02412906192,0.002424564089
54,34.885244,-16727419.49,0.02375914825,0.002361373708
55,35.588254,-16726572.81,0.02340229835,0.002301222334
56,35.241842,-16725815.09,0.02305786445,0.002243850743
57,34.970980,-16725116.69,0.02272524315,0.00218909175
58,35.163069,-16724450.37,0.02240386893,0.002136772466
59,35.193510,-16723841.02,0.02209321349,0.002086762811
60,34.451477,-16723308.75,0.02179278189,0.00203888063
61,35.268368,-16722814.86,0.02150210925,0.001993020734
62,35.506928,-16722342.73,0.02122076142,0.001949078826
63,35.543494,-16721871.14,0.02094833077,0.001906918929
64,35.456279,-16721411.5,0.0206844298,0.001866431693
65,35.121159,-16720984.99,0.02042869598,0.001827548835
66,35.878801,-16720581.13,0.02018078753,0.001790163518
67,35.257597,-16720186.24,0.01994038078,0.001754210339
68,35.242442,-16719785.19,0.01970717082,0.001719616471
69,35.598628,-16719386.41,0.0194808696,0.001686293795
70,35.514474,-16718986.09,0.01926120231,0.001654127696
71,34.792685,-16718582.41,0.0190479098,0.001623122148
72,35.488723,-16718215.14,0.01884074753,0.001593195296
73,34.742038,-16717873.2,0.01863948216,0.001564329198
74,35.199965,-16717543.31,0.01844389209,0.001536480527
