epoch,time_s,loglik,residual,rel_change
1,1.878522,-156520498.7,17.42524367,0
2,1.541445,-17908775.52,0.4442353939,0.319713961
3,1.548622,-17342278.32,0.3090867638,0.2173463555
4,1.538869,-17045963.36,0.2178259947,0.1342562558
5,1.547105,-16915987.33,0.1686343222,0.08614490864
6,1.551077,-16859083.06,0.1425301114,0.06193384984
7,1.549054,-16830347.75,0.1262337926,0.04912218656
8,1.538381,-16813195.79,0.1142388707,0.04110228105
9,1.541213,-16801822.95,0.1045866765,0.03527913229
10,1.535667,-16793935.26,0.09650590364,0.03069760189
11,1.533636,-16788407.68,0.08960693603,0.02695844243
12,1.536835,-16784574.22,0.08364297463,0.02385158469
13,1.537873,-16781995.96,0.07843706283,0.02124180925
14,1.536036,-16780366.87,0.07385521355,0.01903140963
15,1.537680,-16779467.29,0.06979329645,0.01714590025
16,1.546255,-16779136.9,0.06616902423,0.01552704877
17,1.541720,-16779252.19,0.06291648044,0.01412872282
18,1.539635,-16779717.84,0.05998222365,0.01291408135
19,1.549123,-16780434,0.05732245216,0.01185338889
20,1.546300,-16781268.8,0.05490091828,0.01092250294
21,1.538124,-16782049.91,0.05268737019,0.01010170353
22,1.540075,-16782471.32,0.05065636978,0.009374757273
23,1.547353,-16781906.01,0.0487863773,0.008728206952
24,1.538307,-16780232.55,0.04705905158,0.008150859803
25,1.546704,-16778298.69,0.04545868264,0.007633398567
26,1.587007,-16776186.56,0.04397175316,0.007167909852
27,1.589267,-16773940.47,0.0425865726,0.006747695701
28,1.582303,-16771664.55,0.0412929903,0.006367092287
29,1.586213,-16769372.64,0.04008213872,0.006021294716
30,1.581218,-16767086,0.03894625541,0.005706221248
31,1.584838,-16764743.04,0.03787852042,0.005418303855
32,1.559476,-16762475.34,0.03687291948,0.005154480355
33,1.535669,-16760406.52,0.03592413187,0.004912173511
34,1.537458,-16758492.57,0.03502742282,0.004689054583
35,1.539493,-16756367.08,0.03417858268,0.004483136884
36,1.541365,-16753836.32,0.03337384286,0.004292655368
37,1.537371,-16751515.81,0.03260982671,0.00411606039
38,1.540816,-16749609.75,0.03188349971,0.003951990344
39,1.542458,-16747989.87,0.03119212555,0.003799256644
40,1.551402,-16746291.94,0.03053323423,0.003656811276
41,1.542096,-16744414.86,0.02990458663,0.003523723316
42,1.551581,-16742449.82,0.0293041503,0.00339915253
43,1.538855,-16740562.65,0.02873007635,0.003282348255
44,1.537159,-16739010.66,0.02818067547,0.003172663704
45,1.540277,-16737619.53,0.02765440557,0.003069475941
46,1.532894,-16736405.03,0.02714985288,0.002972273014
47,1.540376,-16735265.19,0.02666571795,0.002880580135
48,1.539632,-16734143.28,0.02620081094,0.002793961209
49,1.540477,-16732972.6,0.02575403233,0.002712046362
50,1.547724,-16731791.7,0.0253243687,0.002634423745
51,1.542778,-16730559.76,0.02491088105,0.002560818143
52,1.542440,-16729399.77,0.02451270265,0.002490956845
53,1.538359,-16728368.6,0.02412903115,0.00242454397
54,1.538350,-16727418.63,0.02375911823,0.00236136126
55,1.543098,-16726572.84,0.02340226927,0.002301202279
56,1.537690,-16725814.27,0.02305783595,0.002243830188
57,1.548878,-16725118.06,0.02272521549,0.002189077557
58,1.539643,-16724450.16,0.02240384211,0.002136755494
59,1.540472,-16723837.04,0.02209318748,0.00208673773
60,1.542507,-16723306.13,0.02179275626,0.002038858969
61,1.536918,-16722811.94,0.02150208428,0.001993011849
62,1.555895,-16722339.25,0.02122073768,0.001949071524
63,1.532606,-16721866.71,0.02094830842,0.001906910475
64,1.538899,-16721406.7,0.0206844087,0.001866431402
65,1.543753,-16720983.77,0.02042867587,0.001827539667
66,1.551365,-16720578.34,0.02018076807,0.001790141365
67,1.544382,-16720181.35,0.01994036148,0.001754196103
68,1.543742,-16719778.62,0.01970715224,0.00171959699
69,1.534612,-16719381.13,0.01948085137,0.001686262319
70,1.532587,-16718982.99,0.01926118496,0.001654107635
71,1.537964,-16718578.74,0.01904789272,0.001623109191
72,1.534277,-16718212.93,0.01884073121,0.001593199609
